City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,89.55,23,0,7.85,clear sky
1,Ushuaia,AR,-54.8,-68.3,48.2,45,75,17.22,broken clouds
2,Bluff,NZ,-46.6,168.33,57.99,91,100,11.01,overcast clouds
3,Cortez,US,37.35,-108.59,33.8,55,1,10.29,clear sky
4,Mulege,MX,26.88,-111.98,59.29,61,20,2.93,few clouds
5,Chokurdakh,RU,70.63,147.92,-18.02,89,99,7.83,overcast clouds
6,Shingu,JP,33.73,135.98,53.6,50,40,11.41,scattered clouds
7,Airai,TL,-8.93,125.41,63.14,100,100,2.71,light rain
8,Port Elizabeth,ZA,-33.92,25.57,71.6,88,75,17.22,broken clouds
9,Orchard Homes,US,46.86,-114.05,28.4,86,90,3.36,light snow
10,Tuktoyaktuk,CA,69.45,-133.04,-18.4,75,5,18.34,clear sky
11,Isoka,ZM,-10.16,32.63,69.48,86,26,3.8,scattered clouds
12,Rikitea,PF,-23.12,-134.97,77.86,67,6,6.33,clear sky
13,Erdemli,TR,36.6,34.31,54.36,44,7,5.44,clear sky
14,Dubbo,AU,-32.25,148.62,80.6,34,100,8.05,overcast clouds
15,Launceston,AU,-41.45,147.17,73.0,37,40,17.22,scattered clouds
16,Ostrovnoy,RU,68.05,39.51,29.75,98,98,11.45,light snow
17,Havre-Saint-Pierre,CA,50.23,-63.6,24.8,73,90,11.41,overcast clouds
18,Naze,JP,28.37,129.48,68.0,60,75,12.75,broken clouds
19,Nalut,LY,30.33,10.85,49.01,89,0,9.01,clear sky
20,Kapaa,US,22.08,-159.32,73.4,88,90,7.56,overcast clouds
21,Kayes,ML,14.0,-11.0,62.89,29,95,3.27,overcast clouds
22,Inirida,CO,3.87,-67.92,72.97,98,92,1.19,light rain
23,Pedernales,DO,18.04,-71.74,76.26,64,0,2.42,clear sky
24,Lebu,CL,-37.62,-73.65,55.49,86,0,16.26,clear sky
25,Albany,US,42.6,-73.97,32.0,54,22,8.01,few clouds
26,Khatanga,RU,71.97,102.5,-21.77,85,91,9.1,overcast clouds
27,Mandurah,AU,-32.55,115.7,100.4,12,0,6.93,clear sky
28,Port Alfred,ZA,-33.59,26.89,71.01,94,13,7.0,few clouds
29,Puerto Ayora,EC,-0.74,-90.35,71.01,94,8,6.73,clear sky
30,Alofi,NU,-19.06,-169.92,73.4,100,100,3.36,moderate rain
31,Hovd,MN,48.01,91.64,12.16,65,46,4.05,scattered clouds
32,Poya,NC,-21.35,165.15,81.18,67,52,6.89,broken clouds
33,Morehead,US,37.27,-87.18,37.99,59,1,8.01,clear sky
34,Thompson,CA,55.74,-97.86,-23.8,74,5,3.36,clear sky
35,Butaritari,KI,3.07,172.79,81.46,79,11,15.7,few clouds
36,Upernavik,GL,72.79,-56.15,19.15,93,99,13.47,overcast clouds
37,Arlit,NE,18.74,7.39,60.84,31,0,9.4,clear sky
38,Punta Arenas,CL,-53.15,-70.92,46.4,65,100,10.29,light rain
39,Cape Town,ZA,-33.93,18.42,69.01,88,75,4.7,broken clouds
40,Lasa,IT,46.62,10.7,32.0,54,40,5.82,scattered clouds
41,Hirara,JP,24.8,125.28,69.8,88,75,14.99,mist
42,Mar Del Plata,AR,-38.0,-57.56,73.99,49,0,6.93,moderate rain
43,Dniprovka,UA,47.43,34.62,24.21,95,69,8.63,broken clouds
44,Pevek,RU,69.7,170.31,-6.75,90,100,19.42,light snow
45,Monrovia,LR,6.3,-10.8,75.2,94,20,2.28,mist
46,Narsaq,GL,60.92,-46.05,44.6,39,100,23.04,light snow
47,Asasa,ET,7.1,39.2,59.72,59,100,7.11,overcast clouds
48,Pangnirtung,CA,66.15,-65.71,-10.12,80,83,5.57,broken clouds
49,Lompoc,US,34.64,-120.46,46.4,93,40,6.08,scattered clouds
50,Qeshm,IR,26.96,56.27,66.2,37,0,9.17,clear sky
51,Antofagasta,CL,-23.65,-70.4,62.6,77,0,3.36,clear sky
52,Arraial Do Cabo,BR,-22.97,-42.03,74.32,94,100,12.06,overcast clouds
53,Nezhinka,RU,51.77,55.37,8.6,78,40,6.71,light snow
54,Nizhniy Baskunchak,RU,48.22,46.83,18.81,93,75,9.91,broken clouds
55,Hobart,AU,-42.88,147.33,60.8,72,75,16.11,broken clouds
56,Ushtobe,KZ,45.25,77.98,15.44,85,0,1.34,clear sky
57,Qitaihe,CN,45.8,130.85,25.32,95,95,7.36,overcast clouds
58,Luderitz,NA,-26.65,15.16,66.79,71,0,13.18,clear sky
59,Dikson,RU,73.51,80.55,-30.23,82,0,11.92,clear sky
60,Penzance,GB,50.12,-5.54,53.6,100,28,18.34,scattered clouds
61,Grindavik,IS,63.84,-22.43,33.8,80,90,3.36,overcast clouds
62,Barrow,US,71.29,-156.79,-7.6,69,40,28.86,light snow
63,Dennery,LC,13.9,-60.89,80.6,78,40,17.22,scattered clouds
64,Clyde,US,41.3,-82.98,33.01,86,50,11.01,scattered clouds
65,Provideniya,RU,64.38,-173.3,23.0,92,90,22.37,heavy snow
66,Bafra,TR,41.57,35.91,42.8,52,75,10.29,broken clouds
67,Bredasdorp,ZA,-34.53,20.04,66.2,82,55,10.29,broken clouds
68,Cherskiy,RU,68.75,161.3,-26.28,86,100,1.83,overcast clouds
69,Geraldton,AU,-28.77,114.6,109.4,8,0,14.99,clear sky
70,Victoria,HK,22.29,114.16,68.0,68,40,4.7,scattered clouds
71,Chuy,UY,-33.7,-53.46,55.96,92,0,3.22,clear sky
72,Avarua,CK,-21.21,-159.78,77.0,73,86,4.7,overcast clouds
73,Kavieng,PG,-2.57,150.8,84.34,70,100,7.36,overcast clouds
74,Hobyo,SO,5.35,48.53,79.81,66,53,21.81,broken clouds
75,Saint-Philippe,RE,-21.36,55.77,84.2,51,0,27.51,clear sky
76,Husavik,IS,66.04,-17.34,15.8,85,20,12.75,few clouds
77,East London,ZA,-33.02,27.91,71.6,88,0,4.7,clear sky
78,Key Largo,US,25.09,-80.45,71.01,63,28,17.38,scattered clouds
79,Cockburn Town,TC,21.46,-71.14,78.53,79,7,16.33,clear sky
80,Mataura,NZ,-46.19,168.86,57.99,91,100,11.01,overcast clouds
81,Tiksi,RU,71.69,128.87,-17.09,89,100,6.11,overcast clouds
82,San Roque,ES,36.21,-5.38,55.4,93,75,2.24,broken clouds
83,Jamestown,US,42.1,-79.24,28.4,92,90,3.36,overcast clouds
84,Jensen Beach,US,27.25,-80.23,60.8,63,1,5.82,clear sky
85,Brae,GB,60.4,-1.35,37.4,71,41,9.17,scattered clouds
86,Cabo San Lucas,MX,22.89,-109.91,63.0,82,40,2.24,scattered clouds
87,Carnarvon,AU,-24.87,113.63,87.8,62,0,17.22,clear sky
88,Olinda,BR,-8.01,-34.86,77.0,69,40,6.93,scattered clouds
89,Naryan-Mar,RU,67.67,53.09,-20.54,84,37,8.63,scattered clouds
90,Honiara,SB,-9.43,159.95,86.0,70,75,11.41,shower rain
91,Udachnyy,RU,66.42,112.4,-43.6,64,0,2.24,clear sky
92,Asau,RO,46.43,26.4,35.01,84,94,5.03,overcast clouds
93,Hilo,US,19.73,-155.09,73.4,83,1,3.36,light rain
94,Bambous Virieux,MU,-20.34,57.76,81.0,74,75,16.11,shower rain
95,Peace River,CA,56.25,-117.29,1.4,84,20,9.17,few clouds
96,Segesd,HU,46.34,17.35,37.0,100,90,2.24,fog
97,Hithadhoo,MV,-0.6,73.08,81.72,77,100,16.64,overcast clouds
98,New Norfolk,AU,-42.78,147.06,60.8,72,75,16.11,broken clouds
99,Kaitangata,NZ,-46.28,169.85,59.0,96,100,5.99,overcast clouds
100,Sitka,US,57.05,-135.33,42.8,60,90,26.4,light snow
101,Shirakawa,JP,37.12,140.24,46.4,60,75,6.93,broken clouds
102,Hualmay,PE,-11.1,-77.61,66.9,85,98,6.35,overcast clouds
103,Kutum,SD,14.2,24.67,63.09,28,0,4.99,clear sky
104,Kiama,AU,-34.68,150.87,77.0,61,9,1.99,clear sky
105,Iquique,CL,-20.22,-70.14,68.0,72,0,9.17,clear sky
106,Ahome,MX,25.92,-109.18,59.92,49,21,2.44,few clouds
107,Hermanus,ZA,-34.42,19.23,66.0,92,77,4.0,broken clouds
108,Vaini,TO,-21.2,-175.2,80.6,88,75,9.17,light rain
109,San Isidro,PE,-12.12,-77.05,68.0,82,75,11.41,broken clouds
110,Goderich,CA,43.75,-81.72,32.0,83,99,4.7,overcast clouds
111,Port Hardy,CA,50.7,-127.42,41.0,93,90,6.93,overcast clouds
112,Longyearbyen,SJ,78.22,15.64,26.6,73,75,43.62,broken clouds
113,Campagna,IT,40.67,15.11,46.0,93,33,1.99,scattered clouds
114,Coihaique,CL,-45.58,-72.07,55.4,54,90,3.36,light rain
115,Laguna,US,38.42,-121.42,48.2,45,1,6.93,clear sky
116,Asfi,MA,32.3,-9.24,61.56,61,0,6.13,clear sky
117,Bethel,US,41.37,-73.41,37.4,51,1,8.05,clear sky
118,Severo-Kurilsk,RU,50.68,156.12,20.41,88,95,25.14,light snow
119,Aljezur,PT,37.32,-8.8,55.99,100,73,1.01,broken clouds
120,Atoyac,MX,20.02,-103.53,57.2,47,40,1.41,scattered clouds
121,Sola,VU,-13.88,167.55,82.83,74,23,7.56,few clouds
122,Concarneau,FR,47.88,-3.92,55.4,93,90,18.34,overcast clouds
123,Sorland,NO,67.67,12.69,41.09,81,100,3.58,overcast clouds
124,Hambantota,LK,6.12,81.12,84.2,79,40,3.36,light rain
125,Wagar,SD,16.15,36.2,76.17,68,0,8.19,clear sky
126,Acapulco,MX,16.86,-99.89,77.13,63,0,3.89,clear sky
127,Yambio,SS,4.57,28.4,79.18,45,26,2.8,scattered clouds
128,Igarka,RU,67.47,86.58,-40.5,81,18,1.99,few clouds
129,Ngunguru,NZ,-35.62,174.5,75.0,65,75,10.0,broken clouds
130,Aylmer,CA,42.77,-80.98,30.99,92,75,5.82,broken clouds
131,Ilulissat,GL,69.22,-51.1,24.8,68,67,14.99,broken clouds
132,Santa Isabel,BR,-23.32,-46.22,64.99,88,90,5.82,overcast clouds
133,Gizo,SB,-8.1,156.84,85.77,66,34,5.21,scattered clouds
134,Raudeberg,NO,61.99,5.14,42.01,90,100,15.37,light rain
135,Nikolskoye,RU,59.7,30.79,30.2,86,90,13.42,light snow
136,Richards Bay,ZA,-28.78,32.04,74.43,88,100,10.8,overcast clouds
137,Georgetown,MY,5.41,100.34,87.8,70,20,6.93,few clouds
138,Homer,US,59.64,-151.55,37.4,86,90,8.05,light rain
139,Saldanha,ZA,-33.01,17.94,64.4,88,4,3.36,clear sky
140,Tiarei,PF,-17.53,-149.33,75.2,88,75,11.41,light rain
141,Bulungu,CD,-4.55,18.6,72.77,92,100,1.19,overcast clouds
142,Barabai,ID,-2.58,115.38,89.83,57,88,4.12,light rain
143,Deputatskiy,RU,69.3,139.9,-28.12,86,100,3.36,overcast clouds
144,Katsuura,JP,35.13,140.3,57.99,58,0,6.93,clear sky
145,Atuona,PF,-9.8,-139.03,79.09,75,70,15.66,broken clouds
146,Talnakh,RU,69.49,88.4,-41.8,72,40,6.71,haze
147,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,73.22,98,100,1.79,light rain
148,Mogadishu,SO,2.04,45.34,80.6,69,75,13.87,broken clouds
149,Nanortalik,GL,60.14,-45.24,33.42,92,100,36.53,snow
150,Lavrentiya,RU,65.58,-171.0,26.91,98,100,18.28,snow
151,Kuldiga,LV,56.97,21.96,35.6,100,90,4.7,light intensity drizzle
152,Araouane,ML,18.9,-3.53,54.66,46,0,12.97,clear sky
153,High Level,CA,58.52,-117.14,-9.4,83,90,4.7,light snow
154,Tabou,CI,4.42,-7.35,77.79,83,56,5.32,light rain
155,Killybegs,IE,54.63,-8.45,43.54,78,100,12.08,overcast clouds
156,Qaanaaq,GL,77.48,-69.36,3.0,71,11,8.48,few clouds
157,Wyndham,US,37.7,-77.61,33.8,74,1,1.05,clear sky
158,Uyar,RU,55.81,94.32,-0.62,89,100,13.29,overcast clouds
159,Poum,NC,-20.23,164.02,80.35,72,3,1.97,clear sky
160,Ormara,PK,25.21,64.64,70.68,28,0,10.07,clear sky
161,Yellowknife,CA,62.46,-114.35,-13.0,75,90,10.29,light snow
162,Esperance,AU,-33.87,121.9,82.4,30,0,11.41,clear sky
163,Great Falls,US,47.5,-111.3,21.2,85,90,13.87,overcast clouds
164,Port Perry,CA,44.11,-78.94,34.0,64,90,4.7,overcast clouds
165,Pontes E Lacerda,BR,-15.23,-59.34,72.48,94,100,1.72,overcast clouds
166,Saint George,US,37.1,-113.58,48.2,29,1,16.11,clear sky
167,Dondo,MZ,-19.61,34.74,82.4,83,40,10.29,scattered clouds
168,Nizwa,OM,22.93,57.53,67.91,51,3,3.13,clear sky
169,Sampit,ID,-2.53,112.95,83.84,83,96,4.9,overcast clouds
170,Borba,BR,-4.39,-59.59,73.72,95,100,1.61,light rain
171,Sao Filipe,CV,14.9,-24.5,71.87,73,28,10.02,scattered clouds
172,Cidreira,BR,-30.18,-50.21,66.49,73,1,8.05,clear sky
173,Faanui,PF,-16.48,-151.75,80.91,71,95,6.11,moderate rain
174,Tilichiki,RU,60.47,166.1,-22.47,88,21,9.78,few clouds
175,Krasnokamensk,RU,50.1,118.04,5.7,89,82,4.05,broken clouds
176,Agadez,NE,19.75,10.25,53.76,42,0,11.01,clear sky
177,Freeport,US,40.66,-73.58,39.99,48,1,17.22,clear sky
178,Baft,IR,29.23,56.61,42.57,49,0,2.39,clear sky
179,Yar-Sale,RU,66.83,70.83,-30.96,84,17,4.45,few clouds
180,Castro,BR,-24.79,-50.01,57.02,98,60,5.97,broken clouds
181,Asten,NL,51.4,5.75,54.0,100,100,5.01,overcast clouds
182,Padang,ID,-0.95,100.35,85.59,67,61,6.62,broken clouds
183,Anchorage,US,61.22,-149.9,37.4,74,90,5.82,light snow
184,Camacha,PT,33.08,-16.33,60.8,77,40,3.36,scattered clouds
185,Kaseda,JP,31.42,130.32,55.4,47,75,2.24,broken clouds
186,Dalvik,IS,65.97,-18.53,15.8,85,20,12.75,few clouds
187,Kahului,US,20.89,-156.47,77.0,69,40,6.93,scattered clouds
188,Itanhaem,BR,-24.18,-46.79,73.99,77,20,6.93,haze
189,Aswan,EG,24.09,32.91,61.99,32,9,9.1,clear sky
190,Saint-Joseph,RE,-21.37,55.62,84.2,51,0,27.51,clear sky
191,Souillac,MU,-20.52,57.52,80.6,74,75,16.11,shower rain
192,Okato,NZ,-39.2,173.88,63.0,96,100,7.0,light rain
193,Devonport,AU,-41.17,146.35,69.01,66,27,3.0,scattered clouds
194,Asyut,EG,27.18,31.18,56.1,73,87,9.04,overcast clouds
195,Ribeira Grande,PT,38.52,-28.7,56.28,69,12,23.38,few clouds
196,Vestmannaeyjar,IS,63.44,-20.27,35.15,84,34,15.82,scattered clouds
197,Te Anau,NZ,-45.42,167.72,55.17,89,100,4.12,overcast clouds
198,Alice Springs,AU,-23.7,133.88,62.6,88,75,12.75,light rain
199,Shellbrook,CA,53.22,-106.4,-5.8,83,75,5.82,light snow
200,Salalah,OM,17.02,54.09,77.0,38,0,13.87,clear sky
201,Norman Wells,CA,65.28,-126.83,-13.0,75,20,8.05,few clouds
202,Mahebourg,MU,-20.41,57.7,80.6,74,75,16.11,shower rain
203,North Bend,US,43.41,-124.22,42.01,82,1,8.05,clear sky
204,Barabinsk,RU,55.36,78.36,9.68,95,100,13.65,light snow
205,Mtambile,TZ,-5.38,39.7,83.62,72,47,8.99,scattered clouds
206,Bengkulu,ID,-3.8,102.27,85.12,62,11,7.54,few clouds
207,Makeni,SL,8.88,-12.05,69.04,60,94,1.81,overcast clouds
208,Labrea,BR,-7.26,-64.8,72.93,93,100,2.37,overcast clouds
209,Abhaynagar,BD,23.01,89.4,78.35,33,0,4.03,clear sky
210,Biak,ID,-0.91,122.88,84.88,68,96,0.56,light rain
211,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,21.2,41,91,15.66,overcast clouds
212,Baruun-Urt,MN,46.68,113.28,9.41,92,99,7.63,overcast clouds
213,Ulladulla,AU,-35.35,150.47,73.4,49,40,11.41,scattered clouds
214,Galesong,ID,-5.32,119.37,86.0,74,40,9.17,scattered clouds
215,Traralgon,AU,-38.18,146.53,66.99,59,11,7.0,few clouds
216,Maragheh,IR,37.39,46.24,33.8,68,90,2.24,light snow
217,Outjo,NA,-20.12,16.15,71.11,48,39,7.31,scattered clouds
218,Esso,RU,55.93,158.7,5.94,88,100,5.57,overcast clouds
219,Mercedes,AR,-34.65,-59.43,68.0,62,0,1.99,clear sky
220,Termiz,UZ,37.22,67.28,39.2,86,90,2.24,mist
221,Hamilton,US,39.18,-84.53,35.01,74,20,4.7,few clouds
222,Paamiut,GL,61.99,-49.67,37.89,76,100,17.65,overcast clouds
223,Ventspils,LV,57.39,21.56,35.6,100,90,4.7,light intensity drizzle
224,Toumodi,CI,6.56,-5.02,71.6,94,0,2.26,clear sky
225,Kibala,TD,9.11,18.35,66.2,68,62,2.39,broken clouds
226,Muriti,TZ,-1.98,32.92,73.83,72,31,7.52,light rain
227,Meulaboh,ID,4.14,96.13,84.29,71,90,3.33,overcast clouds
228,Kodiak,US,57.79,-152.41,30.2,86,1,4.7,clear sky
229,Clyde River,CA,70.47,-68.59,5.0,92,100,24.16,light snow
230,Chicama,PE,-7.84,-79.15,68.16,79,98,6.04,overcast clouds
231,Katrineholm,SE,59.0,16.21,42.8,81,14,12.75,few clouds
232,Kelso,US,46.15,-122.91,37.99,100,1,0.63,clear sky
233,Boulder,US,40.08,-105.35,37.4,31,1,25.28,clear sky
234,Dingle,PH,11.0,122.67,84.9,74,65,12.21,broken clouds
